url,role,origine,bundle,shaders,besoin_fix,rebuild_dispo,note
http://cloud-3.steamusercontent.com/ugc/1621849308236386731/FA50237A0BF717ED06EA3020D5F4089D452ADCD6/,principal,telecharge,ig-100_magnaguard_leader_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1621849308236386787/E93D6E65A61C9262B5934C5A419736B45B50D75B/,principal,telecharge,ig-100_magnaguard_rps-6_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1621849308236386933/DCD62751F06157E85CE575C8BB1CCF86379BB7DE/,principal,telecharge,wookiee_warriors_battle_shield_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1621849538641208262/A0E48F7D9C94617C81BAD4D649717BAC7A8B9B64/,secondaire,telecharge,ig-100_magnagaurd_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1621849538645161033/A69093521055BB5CA008D3DDE5F6EBEB990D0AF2/,principal,cache,dsd-1_dwarf_spider_droid_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1686023073179090715/187094FD9EBAFB6FF44A65F2D411D68154C0FAC7/,principal,telecharge,t47_airspeeder_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1686023445067146269/A9189AC12193D3BD24624F7A5137C4E69FADDBBF/,principal,cache,droideka,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1686023445067146631/305531F34B6598A008F5925D828457DF1A8195F6/,secondaire,telecharge,droideka_fx,BucketheadBits/Units/Glow Geometry | BucketheadBits/Units/Rim Glow Geometry Shield,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1686023445067168845/FBADA8EDE2ED248CA7F50C1DB3BFF46215E0360B/,principal,cache,droideka_leader,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845389/0D7DFE0C5BF5CDD527A619B75A25A2177D417BD0/,principal,telecharge,pyke_syndicate_foot_soldiers_trooper_3_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845475/01738B0D52E2D9C2870D6E33A2D05ECD12201C85/,principal,telecharge,black_sun_enforcers_leader_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845513/BB3CD9624D6F43250D0406D099819E497A1A70BE/,principal,telecharge,pyke_syndicate_foot_soldiers_electrowhip_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845548/FD104F41509A53EA1C888862A3C5F0B98F609F1F/,principal,telecharge,pyke_syndicate_foot_soldiers_leader_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845607/4B1530CF96F9DB8F172B02676F1D8B347CFD862A/,principal,telecharge,pyke_syndicate_foot_soldiers_p13-m_disruptor_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845646/BE0DEED782F96BD44C389DEDEA41EBEA0C7A6D04/,principal,telecharge,pyke_syndicate_foot_soldiers_trooper_1_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728387706845697/15B6DCCA8D8D76E1CB78219C58790E40DDD7CE8A/,principal,telecharge,pyke_syndicate_foot_soldiers_trooper_2_model,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1745728519554838398/33764317D1BE774E1F978082C1A97681C1183C01/,principal,telecharge,boba_fett_the_old_and_wise_model_1,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1747939379132611640/1EEBEB993635A56525283FAFA0D62D347FB3121C/,principal,telecharge,laat_le,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1785135125810942830/666860D7C34C83C500C62BDDE115F30C59A42C74/,principal,telecharge,darktrooper_leader,BucketheadBits/Units/Glow Geometry | BucketheadBits/Units/Rim Glow Geometry Shield,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1785135125810942938/E77EC5970DA310A2E1D96F796E98D82813AE0891/,principal,cache,darktrooper_trooper1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1785135125810943021/4B5888D461F54C2C281B108233D1F1D8D8C2A679/,principal,telecharge,darktrooper_trooper2,,non,oui,
http://cloud-3.steamusercontent.com/ugc/1785135165610974498/47B1C8B92A0E945388F7773EAB2F73B0A81E761E/,principal,telecharge,grogu_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1789640371717200769/60353F40BAE6D92D6F6ED24E2883EB9CC2EA74C4/,secondaire,telecharge,mauldelorian_cpt_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1789640371717200823/B886D3157AA2F2528F4E5F76F26DF44A41496615/,secondaire,telecharge,mauldelorian_trooper_mat,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1789640371719006177/3A456EB29012BFBE4322E020CBC08CF6F915BBF3/,principal,telecharge,mauldelorian_rook_kast_model,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry | BucketheadBits/Units/Rim Glow Geometry Shield,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1789640371719014130/7A59CCE5B8A8C87DD3952C15819FAA8921708A75/,principal,telecharge,maul_a_rival_model,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry | BucketheadBits/Units/Rim Glow Geometry Shield,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1789640371719058670/9E6B82A0BF8367F2C6D369BD3464DA5E9D0C7917/,principal,telecharge,ig-88_model,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1802024425338475441/730DE7AD6E1A55EA9F9264DADC1DDC0AC2CCA565/,principal,telecharge,aa5_scan,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1802024425338475527/29D3660FA84E5B9F804B840C18E68F5631EE6462/,principal,telecharge,aa5_scan_shadow,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
